Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat,Place Categories
Guinea,Guinea,Ebola,Humans,4171217,Speaker examines long-term effects of Ebola outbreak - Observer Online,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHpS_ZBs-olbc5YkuXc5pybSeYUhg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=7AwXV8CsBs7H3QG5sJCQCA&url=http://ndsmcobserver.com/2016/04/speaker-examines-long-term-effects-ebola-outbreak/,4/20/16 0:07,Breaking,,,,,,Google News,-10.94177,10.43821,
Liberia,Liberia,Ebola,Humans,4171217,Speaker examines long-term effects of Ebola outbreak - Observer Online,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHpS_ZBs-olbc5YkuXc5pybSeYUhg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=7AwXV8CsBs7H3QG5sJCQCA&url=http://ndsmcobserver.com/2016/04/speaker-examines-long-term-effects-ebola-outbreak/,4/20/16 0:07,Breaking,,,,,,Google News,-9.30791,6.44809,
"Macenta Prefecture, NzÌ©rÌ©korÌ© Region, Guinea",Guinea,Ebola,Humans,4159770,One known Ebola case left in Guinea after girl's discharge - GlobalPost,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGHe7chPhwyo1-4B-NrJCFqdSrvfQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779084968606&ei=u74PV5CbEYrG3QGjrbO4DQ&url=http://www.globalpost.com/article/6760118/2016/04/14/one-known-ebola-case-left-guinea-after-girls-discharge,4/14/16 11:36,Breaking,,,,,,Google News,-9.47099,8.54351,
Guinea,Guinea,Ebola,Humans,4159770,One known Ebola case left in Guinea after girl's discharge - GlobalPost,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGHe7chPhwyo1-4B-NrJCFqdSrvfQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779084968606&ei=u74PV5CbEYrG3QGjrbO4DQ&url=http://www.globalpost.com/article/6760118/2016/04/14/one-known-ebola-case-left-guinea-after-girls-discharge,4/14/16 11:36,Breaking,,,,8,,Google News,-10.94177,10.43821,
"Kayes, Kayes, Mali",Mali,Ebola,Humans,4157162,Mali authorities seek 2 Guineans who had Ebola contact - TBO.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEwkXerOURyg3OrDDwr4xabdLnMuw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779084031435&ei=IXsOV8jtJ5SH3AHCrKnQCA&url=http://www.tbo.com/health/mali-authorities-seek--guineans-who-had-ebola-contact-ap_healthb588a12bbeca48e1a34ea81ce6a6d9e9,4/13/16 11:12,Warning,,,,,,Google News,-11.4475,14.409444,
Liberia,Liberia,Ebola,Humans,4152753,Last two Ebola patients left hospital in Liberia ‰ÛÒ Omaha Daily Science - Daily Star Gazette,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE4Hk3SJomlJ5ptAzgSlPxVA7Htww&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779081421907&ei=dhAMV-jTOsOP3gGH1pKABA&url=http://www.albanydailystar.com/health/update-last-two-ebola-patients-left-hospital-in-liberia-omaha-daily-science-12662.html,4/11/16 16:09,Breaking,,,3,,,Google News,-9.30791,6.44809,Healthcare facilities
Guinea,Guinea,Ebola,Humans,4151303,Sierra Leone on high alert amid new Ebola cases in Liberia and Guinea - AfricaNews,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGll8r6Cig_1fpluft7euQiBacz0w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779081421907&ei=xHULV8jhK4aW3wGUsa_QBg&url=http://www.africanews.com/2016/04/11/sierra-leone-on-high-alert-amid-new-ebola-cases-in-liberia-and-guinea/,4/11/16 5:10,Breaking,,,,8,,Google News,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,4151303,Sierra Leone on high alert amid new Ebola cases in Liberia and Guinea - AfricaNews,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGll8r6Cig_1fpluft7euQiBacz0w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779081421907&ei=xHULV8jhK4aW3wGUsa_QBg&url=http://www.africanews.com/2016/04/11/sierra-leone-on-high-alert-amid-new-ebola-cases-in-liberia-and-guinea/,4/11/16 5:10,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,4151303,Sierra Leone on high alert amid new Ebola cases in Liberia and Guinea - AfricaNews,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGll8r6Cig_1fpluft7euQiBacz0w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779081421907&ei=xHULV8jhK4aW3wGUsa_QBg&url=http://www.africanews.com/2016/04/11/sierra-leone-on-high-alert-amid-new-ebola-cases-in-liberia-and-guinea/,4/11/16 5:10,Breaking,,,,1,,Google News,-9.30791,6.44809,
Liberia,Liberia,Ebola,Humans,4143738,Liberia records 97 Ebola contacts - The New Dawn Liberia,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGWaMj7Fy_lLFK58V2_XoULQ6MXVg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=a-kFV-D9H9LC3gH9mIvIAQ&url=http://www.thenewdawnliberia.com/news/10041-liberia-records-97-ebola-contacts,4/6/16 20:33,Breaking,,,3,1,,Google News,-9.30791,6.44809,
