Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat,Place Categories
Liberia,Liberia,Ebola,Humans,3507529,WHO Situation Summary Data Published on 10 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150710?lang=en,7/10/15 10:40,Breaking,10672,4807,,,,World Health Organization,-9.30791,6.44809,
Guinea,Guinea,Ebola,Humans,3507527,WHO Situation Summary Data Published on 9 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150709?lang=en,7/9/15 10:23,Breaking,3744,2505,,,,World Health Organization,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3507527,WHO Situation Summary Data Published on 9 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150709?lang=en,7/9/15 10:23,Breaking,13169,3941,,,,World Health Organization,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3507527,WHO Situation Summary Data Published on 9 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150709?lang=en,7/9/15 10:23,Breaking,10672,4807,,,,World Health Organization,-9.30791,6.44809,
Guinea,Guinea,Ebola,Humans,3506870,Ebola: Thirty new cases every week - Lauderdale Daily News,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEqZJ6iFqcbimfgvMfcDAYXMK5ttg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778901224081&ei=-YyjVfDgGZfP3QGWh6SgAg&url=http://www.whatlauderdale.com/health/ebola-thirty-new-cases-week/22321/,7/13/15 5:51,Breaking,,,,,,Google News,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3506870,Ebola: Thirty new cases every week - Lauderdale Daily News,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEqZJ6iFqcbimfgvMfcDAYXMK5ttg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778901224081&ei=-YyjVfDgGZfP3QGWh6SgAg&url=http://www.whatlauderdale.com/health/ebola-thirty-new-cases-week/22321/,7/13/15 5:51,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3506870,Ebola: Thirty new cases every week - Lauderdale Daily News,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEqZJ6iFqcbimfgvMfcDAYXMK5ttg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778901224081&ei=-YyjVfDgGZfP3QGWh6SgAg&url=http://www.whatlauderdale.com/health/ebola-thirty-new-cases-week/22321/,7/13/15 5:51,Breaking,,,,,,Google News,-9.30791,6.44809,
Liberia,Liberia,Ebola,Humans,3501056,UPDATE 2-Tests show Ebola probably remained latent in Liberia - Reuters,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFgO8QxHEhW_l0ZLym84NBZ8SIZew&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778897600003&ei=zd6fVaiiDMSy3gG8p6mQBg&url=http://www.reuters.com/article/2015/07/10/health-ebola-idUSL8N0ZQ1S220150710,7/10/15 10:16,Breaking,,,,,,Google News,-9.30791,6.44809,
Liberia,Liberia,Ebola,Humans,3499498,Surge of Ebola in Liberia May Be Linked to a Survivor - New York Times,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHlOqA7kQ03RXRYUM25mShl8viYYA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778897600003&ei=_CefVYiyJqK7wQH_7YGwDQ&url=http://www.nytimes.com/2015/07/10/world/africa/surge-of-ebola-in-liberia-is-tracked-to-a-survivor.html,7/9/15 21:08,Breaking,,,,,,Google News,-9.30791,6.44809,
"Margibi County, Liberia",Liberia,Ebola,Humans,3498859,Liberia Health Authority Confirms Four New Ebola Cases - Global News Network,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHAfNmboWdXQJNuz2kkwgpf7-S8ZQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778898713271&ei=mtOeVZD0HYe0wAGImYCQDw&url=http://www.gnnliberia.com/articles/2015/07/09/liberia-health-authority-confirms-four-new-ebola-cases,7/9/15 15:51,Breaking,,,,,,Google News,-10.25,6.5,
"Conakry Region, Guinea",Guinea,Ebola,Humans,3497700,16 test positive to Ebola in Guinea - TheCable,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHvqsUm1FBRL5NkCcQ51WqkObRAaQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=OH-eVfj4HpfE3QH0uYLoDQ&url=https://www.thecable.ng/16-test-positive-ebola-guinea,7/9/15 9:55,Breaking,,,,,,Google News,-13.712222,9.509167,
Sierra Leone,Sierra Leone,Ebola,Humans,3497700,16 test positive to Ebola in Guinea - TheCable,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHvqsUm1FBRL5NkCcQ51WqkObRAaQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=OH-eVfj4HpfE3QH0uYLoDQ&url=https://www.thecable.ng/16-test-positive-ebola-guinea,7/9/15 9:55,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3497700,16 test positive to Ebola in Guinea - TheCable,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHvqsUm1FBRL5NkCcQ51WqkObRAaQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=OH-eVfj4HpfE3QH0uYLoDQ&url=https://www.thecable.ng/16-test-positive-ebola-guinea,7/9/15 9:55,Breaking,,,,,,Google News,-9.30791,6.44809,
Guinea,Guinea,Ebola,Humans,3497692,WHO Situation Summary Data Published on 8 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150708?lang=en,7/8/15 9:23,Breaking,3748,2499,,,,World Health Organization,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3497692,WHO Situation Summary Data Published on 8 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150708?lang=en,7/8/15 9:23,Breaking,13155,3940,,,,World Health Organization,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3497692,WHO Situation Summary Data Published on 8 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150708?lang=en,7/8/15 9:23,Breaking,10670,4807,,,,World Health Organization,-9.30791,6.44809,
"Bong County, Liberia",Liberia,Ebola,Humans,3497538,No Ebola Case in Bong - AllAfrica.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFae4VIlCb6lgnttUTGcwX7PsBndA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=JHGeVYLbG8WQ3gHZvIH4Bw&url=http://allafrica.com/stories/201507091441.html,7/9/15 8:50,Breaking,,,,,,Google News,-9.666667,7,
Guinea,Guinea,Ebola,Humans,3496044,"Two more Liberia Ebola cases as Guinea, Sierra Leone log 27 - CIDRAP",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFoT0yLY42MfLjakI9lKye2dPlf7A&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778897600003&ei=RqydVbicKJLT3gGHoIaQCw&url=http://www.cidrap.umn.edu/news-perspective/2015/07/two-more-liberia-ebola-cases-guinea-sierra-leone-log-27,7/8/15 18:31,Breaking,,,,,,Google News,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3496044,"Two more Liberia Ebola cases as Guinea, Sierra Leone log 27 - CIDRAP",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFoT0yLY42MfLjakI9lKye2dPlf7A&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778897600003&ei=RqydVbicKJLT3gGHoIaQCw&url=http://www.cidrap.umn.edu/news-perspective/2015/07/two-more-liberia-ebola-cases-guinea-sierra-leone-log-27,7/8/15 18:31,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3496044,"Two more Liberia Ebola cases as Guinea, Sierra Leone log 27 - CIDRAP",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFoT0yLY42MfLjakI9lKye2dPlf7A&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778897600003&ei=RqydVbicKJLT3gGHoIaQCw&url=http://www.cidrap.umn.edu/news-perspective/2015/07/two-more-liberia-ebola-cases-guinea-sierra-leone-log-27,7/8/15 18:31,Breaking,,,,,,Google News,-9.30791,6.44809,
Sierra Leone,Sierra Leone,Ebola,Humans,3495931,Sierra Leone extends Ebola curfews indefinitely - Yahoo News UK,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFkYUfwOg8zwA2CXd2OpnnBTy-4Hw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778897600003&ei=Mp6dVai8LYGB3gHMwILQBA&url=https://uk.news.yahoo.com/sierra-leone-extends-ebola-curfews-indefinitely-192134853.html,7/8/15 16:26,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3495711,Source of new Liberian Ebola outbreak a mystery: WHO - Yahoo News UK,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF97BPV5ob_FTY2SbyOqHZl2tEQ-w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778897600003&ei=D4KdVejFFYTo3gGjubXgCA&url=https://uk.news.yahoo.com/source-liberian-ebola-outbreak-mystery-181642021.html,7/8/15 15:39,Breaking,,,,,,Google News,-9.30791,6.44809,
Guinea,Guinea,Ebola,Humans,3494775,WHO Situation Summary Data Published on 7 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150707?lang=en,7/7/15 9:13,Breaking,3748,2499,,,,World Health Organization,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3494775,WHO Situation Summary Data Published on 7 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150707?lang=en,7/7/15 9:13,Breaking,13155,3940,,,,World Health Organization,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3494775,WHO Situation Summary Data Published on 7 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150707?lang=en,7/7/15 9:13,Breaking,10670,4807,,,,World Health Organization,-9.30791,6.44809,
Guinea,Guinea,Ebola,Humans,3494736,WHO Situation Summary Data Published on 6 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150706?lang=en,7/6/15 9:07,Breaking,3744,2498,,,,World Health Organization,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3494736,WHO Situation Summary Data Published on 6 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150706?lang=en,7/6/15 9:07,Breaking,13150,3940,,,,World Health Organization,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3494736,WHO Situation Summary Data Published on 6 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150706?lang=en,7/6/15 9:07,Breaking,10670,4807,,,,World Health Organization,-9.30791,6.44809,
Guinea,Guinea,Ebola,Humans,3494694,WHO Situation Summary Data Published on 2 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150702?lang=en,7/2/15 9:00,Breaking,3745,2490,,,,World Health Organization,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3494694,WHO Situation Summary Data Published on 2 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150702?lang=en,7/2/15 9:00,Breaking,13129,3933,,,,World Health Organization,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3494694,WHO Situation Summary Data Published on 2 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150702?lang=en,7/2/15 9:00,Breaking,10666,4806,,,,World Health Organization,-9.30791,6.44809,
Liberia,Liberia,Ebola,Humans,3492946,Initial Ebola test on Liberia dog carcass negative - sources - swissinfo.ch,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHxoKjERSKaesIwIrko6ZhTpoEdRQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778896840493&ei=oz6cVcDqG8Pt3QGrloHgDw&url=http://www.swissinfo.ch/eng/initial-ebola-test-on-liberia-dog-carcass-negative---sources/41536352,7/7/15 16:32,Breaking,,,,,,Google News,-9.30791,6.44809,
Liberia,Liberia,Ebola,Humans,3480663,Nigeria on alert after Ebola resurfaces in Liberia - GlobalPost,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHpCoSvMcTupVc3h4d4to77tCqQFQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=D5mVVbirI8Xo3gHC_YGwBA&url=http://www.globalpost.com/article/6602710/2015/07/02/nigeria-alert-after-ebola-resurfaces-liberia,7/2/15 15:53,Warning,,,,,,Google News,-9.30791,6.44809,
Nigeria,Nigeria,Ebola,Humans,3480663,Nigeria on alert after Ebola resurfaces in Liberia - GlobalPost,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHpCoSvMcTupVc3h4d4to77tCqQFQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=D5mVVbirI8Xo3gHC_YGwBA&url=http://www.globalpost.com/article/6602710/2015/07/02/nigeria-alert-after-ebola-resurfaces-liberia,7/2/15 15:53,Warning,,,,,,Google News,8.10531,9.59396,
Liberia,Liberia,Ebola,Humans,3479584,Liberia Officials Restart Ebola Monitoring After New Outbreak - Bloomberg,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEBC66nWFN2PnmYGY-vOsPd3DyYUA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=nTaVVYDZDMTO3AH7gZ7wCA&url=http://www.bloomberg.com/news/articles/2015-07-02/liberia-officials-restart-ebola-monitoring-after-new-outbreak,7/2/15 8:44,Breaking,,,,,,Google News,-9.30791,6.44809,
"Monrovia, Montserrado, Liberia",Liberia,Ebola,Humans,3477656,More than 100 had contact with Liberian teen who contracted Ebola - Washington Post,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNExRcY3mlHN3OJGBRA8recy-cV1uQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=gDmUVcDDKIGB3gH77IC4BA&url=http://www.washingtonpost.com/news/world/wp/2015/07/01/more-than-100-had-contact-with-liberian-teen-who-contracted-ebola/,7/1/15 14:30,Warning,,,,,,Google News,-10.804722,6.310556,
Liberia,Liberia,Ebola,Humans,3477656,More than 100 had contact with Liberian teen who contracted Ebola - Washington Post,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNExRcY3mlHN3OJGBRA8recy-cV1uQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=gDmUVcDDKIGB3gH77IC4BA&url=http://www.washingtonpost.com/news/world/wp/2015/07/01/more-than-100-had-contact-with-liberian-teen-who-contracted-ebola/,7/1/15 14:30,Warning,,,,,,Google News,-9.30791,6.44809,
"Monrovia, Montserrado, Liberia",Liberia,Ebola,Humans,3477393,Liberia Ebola Outbreak: Unpaid Workers Protest At Health Ministry As New ... - International Business Times,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEaMZA-oBJ_j08jbqgV9ZIAJSTXgQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=Xx2UVfC8Jcbe3QHFtIAQ&url=http://www.ibtimes.com/liberia-ebola-outbreak-unpaid-workers-protest-health-ministry-new-cases-emerge-1992104,7/1/15 12:28,Warning,,,,,,Google News,-10.804722,6.310556,Concern (high)
Liberia,Liberia,Ebola,Humans,3477393,Liberia Ebola Outbreak: Unpaid Workers Protest At Health Ministry As New ... - International Business Times,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEaMZA-oBJ_j08jbqgV9ZIAJSTXgQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=Xx2UVfC8Jcbe3QHFtIAQ&url=http://www.ibtimes.com/liberia-ebola-outbreak-unpaid-workers-protest-health-ministry-new-cases-emerge-1992104,7/1/15 12:28,Warning,,,,,,Google News,-9.30791,6.44809,Concern (high)
Guinea,Guinea,Ebola,Humans,3477379,WHO Situation Summary Data Published on 01 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150701?lang=en,7/1/15 12:53,Breaking,3729,2482,,,,World Health Organization,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3477379,WHO Situation Summary Data Published on 01 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150701?lang=en,7/1/15 12:53,Breaking,13119,3932,,,,World Health Organization,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3477379,WHO Situation Summary Data Published on 01 July 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150701?lang=en,7/1/15 12:53,Breaking,10666,4806,,,,World Health Organization,-9.30791,6.44809,
"Monrovia, Montserrado, Liberia",Liberia,Ebola,Humans,3476887,Liberia Announces 2 More Confirmed Ebola Cases - NDTV,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHrAvzJpjuSuYou1QFcpN35pSps3Q&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=L_OTVcjMMti_3gHtyIzYBw&url=http://www.ndtv.com/world-news/liberia-announces-2-more-confirmed-ebola-cases-777205,7/1/15 9:10,Breaking,,,,,,Google News,-10.804722,6.310556,
Liberia,Liberia,Ebola,Humans,3476887,Liberia Announces 2 More Confirmed Ebola Cases - NDTV,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHrAvzJpjuSuYou1QFcpN35pSps3Q&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=L_OTVcjMMti_3gHtyIzYBw&url=http://www.ndtv.com/world-news/liberia-announces-2-more-confirmed-ebola-cases-777205,7/1/15 9:10,Breaking,,,,,,Google News,-9.30791,6.44809,
Liberia,Liberia,Ebola,Humans,3476455,Liberia registers second confirmed Ebola case - health official - Channel News Asia,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGllmcK8eivRVJtjKp4UEEmeBgqtQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778892361394&ei=7LqTVeCzDpDS3AHliJ6oCQ&url=http://www.channelnewsasia.com/news/world/liberia-registers-second/1953454.html,7/1/15 6:01,Breaking,,,,,,Google News,-9.30791,6.44809,
Guinea,Guinea,Ebola,Humans,3474870,WHO Situation Summary Data Published on 30 June 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150630?lang=en,6/30/15 13:54,Breaking,3729,2482,,,,World Health Organization,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3474870,WHO Situation Summary Data Published on 30 June 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150630?lang=en,6/30/15 13:54,Breaking,13119,3932,,,,World Health Organization,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3474870,WHO Situation Summary Data Published on 30 June 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150630?lang=en,6/30/15 13:54,Breaking,10666,4806,,,,World Health Organization,-9.30791,6.44809,
"Monrovia, Montserrado, Liberia",Liberia,Ebola,Humans,3474579,Liberia Reactivates Ebola Units After First Death Since March - Bloomberg,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEUYcZcG8lGn0kaOb1a8Hnx7V401g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778890157893&ei=1b2SVajOJ4nn3AGkrYCYCw&url=http://www.bloomberg.com/news/articles/2015-06-30/liberia-reactivates-ebola-units-after-first-death-since-march,6/30/15 11:42,Breaking,,,,,,Google News,-10.804722,6.310556,
"Monrovia, Montserrado, Liberia",Liberia,Ebola,Humans,3474376,Liberia quarantines area of where new Ebola case appeared - FOX6 WBRC - MyFoxAL.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE9_yZ25QvZUFPvuWs2ifMHUGFIeg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778890157893&ei=zK-SVcjfAuq_3AGuoJ6AAQ&url=http://www.myfoxal.com/story/29439786/liberia-quarantines-area-of-where-new-ebola-case-appeared,6/30/15 10:43,Breaking,,,,,,Google News,-10.804722,6.310556,
"Margibi County, Liberia",Liberia,Ebola,Humans,3474376,Liberia quarantines area of where new Ebola case appeared - FOX6 WBRC - MyFoxAL.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE9_yZ25QvZUFPvuWs2ifMHUGFIeg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778890157893&ei=zK-SVcjfAuq_3AGuoJ6AAQ&url=http://www.myfoxal.com/story/29439786/liberia-quarantines-area-of-where-new-ebola-case-appeared,6/30/15 10:43,Breaking,,,,,,Google News,-10.25,6.5,
Guinea,Guinea,Ebola,Humans,3474376,Liberia quarantines area of where new Ebola case appeared - FOX6 WBRC - MyFoxAL.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE9_yZ25QvZUFPvuWs2ifMHUGFIeg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778890157893&ei=zK-SVcjfAuq_3AGuoJ6AAQ&url=http://www.myfoxal.com/story/29439786/liberia-quarantines-area-of-where-new-ebola-case-appeared,6/30/15 10:43,Breaking,,,,,,Google News,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3474376,Liberia quarantines area of where new Ebola case appeared - FOX6 WBRC - MyFoxAL.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE9_yZ25QvZUFPvuWs2ifMHUGFIeg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778890157893&ei=zK-SVcjfAuq_3AGuoJ6AAQ&url=http://www.myfoxal.com/story/29439786/liberia-quarantines-area-of-where-new-ebola-case-appeared,6/30/15 10:43,Breaking,,,,,,Google News,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3474376,Liberia quarantines area of where new Ebola case appeared - FOX6 WBRC - MyFoxAL.com,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE9_yZ25QvZUFPvuWs2ifMHUGFIeg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778890157893&ei=zK-SVcjfAuq_3AGuoJ6AAQ&url=http://www.myfoxal.com/story/29439786/liberia-quarantines-area-of-where-new-ebola-case-appeared,6/30/15 10:43,Breaking,,,,,,Google News,-9.30791,6.44809,
"Bong County, Liberia",Liberia,Ebola,Humans,3473030,"Ebola Back In Liberia: 1 Month, 20 Days After 'Free' Declaration > ‰ÛÏSp - Front Page Africa",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEbLKjkBN_sON3Z9ufqGZ01GmozNA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=ztyRVYHiCcT43QGswoDQBA&url=http://www.frontpageafricaonline.com/index.php/news/5660-ebola-back-in-liberia-1-month-20-days-after-free-declaration,6/29/15 19:21,Breaking,,,,,,Google News,-9.666667,7,
"Lofa County, Liberia",Liberia,Ebola,Humans,3473030,"Ebola Back In Liberia: 1 Month, 20 Days After 'Free' Declaration > ‰ÛÏSp - Front Page Africa",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEbLKjkBN_sON3Z9ufqGZ01GmozNA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=ztyRVYHiCcT43QGswoDQBA&url=http://www.frontpageafricaonline.com/index.php/news/5660-ebola-back-in-liberia-1-month-20-days-after-free-declaration,6/29/15 19:21,Breaking,,,,,,Google News,-10,7.916667,
"Margibi County, Liberia",Liberia,Ebola,Humans,3473030,"Ebola Back In Liberia: 1 Month, 20 Days After 'Free' Declaration > ‰ÛÏSp - Front Page Africa",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEbLKjkBN_sON3Z9ufqGZ01GmozNA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=ztyRVYHiCcT43QGswoDQBA&url=http://www.frontpageafricaonline.com/index.php/news/5660-ebola-back-in-liberia-1-month-20-days-after-free-declaration,6/29/15 19:21,Breaking,,,,,,Google News,-10.25,6.5,
Guinea,Guinea,Ebola,Humans,3472628,WHO Situation Summary Data Published on 29 June 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150629?lang=en,6/29/15 15:33,Breaking,3724,2482,,,,World Health Organization,-10.94177,10.43821,
Sierra Leone,Sierra Leone,Ebola,Humans,3472628,WHO Situation Summary Data Published on 29 June 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150629?lang=en,6/29/15 15:33,Breaking,13115,3932,,,,World Health Organization,-11.79192,8.56028,
Liberia,Liberia,Ebola,Humans,3472628,WHO Situation Summary Data Published on 29 June 2015,http://apps.who.int/gho/data/view.ebola-sitrep.ebola-summary-20150629?lang=en,6/29/15 15:33,Breaking,10666,4806,,,,World Health Organization,-9.30791,6.44809,
"Port Loko, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3470412,"Ebola cases reported in Guinea as people travel, worries increase with election - The Bell Jar",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEdrEpPGe4Jr1NVTUdIOlBxLEviyw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778887585419&ei=yxqQVbCuFYnn3AHhnYGYAg&url=http://www.belljarnews.com/ebola-cases-reported-in-guinea-as-people-travel-worries-increase-with-election/859717/,6/28/15 11:24,Warning,,,,,,Google News,-12.78333,8.76667,
"Kambia, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3470412,"Ebola cases reported in Guinea as people travel, worries increase with election - The Bell Jar",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEdrEpPGe4Jr1NVTUdIOlBxLEviyw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778887585419&ei=yxqQVbCuFYnn3AHhnYGYAg&url=http://www.belljarnews.com/ebola-cases-reported-in-guinea-as-people-travel-worries-increase-with-election/859717/,6/28/15 11:24,Warning,,,,,,Google News,-12.91667,9.11667,
"Freetown, Western Area, Sierra Leone",Sierra Leone,Ebola,Humans,3470412,"Ebola cases reported in Guinea as people travel, worries increase with election - The Bell Jar",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEdrEpPGe4Jr1NVTUdIOlBxLEviyw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778887585419&ei=yxqQVbCuFYnn3AHhnYGYAg&url=http://www.belljarnews.com/ebola-cases-reported-in-guinea-as-people-travel-worries-increase-with-election/859717/,6/28/15 11:24,Warning,,,,,,Google News,-13.22994,8.484,
Guinea,Guinea,Ebola,Humans,3470412,"Ebola cases reported in Guinea as people travel, worries increase with election - The Bell Jar",http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEdrEpPGe4Jr1NVTUdIOlBxLEviyw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778887585419&ei=yxqQVbCuFYnn3AHhnYGYAg&url=http://www.belljarnews.com/ebola-cases-reported-in-guinea-as-people-travel-worries-increase-with-election/859717/,6/28/15 11:24,Warning,,,,,,Google News,-10.94177,10.43821,
